,UNC_YEAR,HSCD,COUNTRYCD,COUNTRYNM,TRADE_COUNTRYCD,TRADE_HSCD,TARIFF_AVG,SNDIST,NY_GDP_MKTP_CD,NY_GDP_MKTP_CD_1Y,SP_POP_TOTL,PA_NUS_FCRF,IC_BUS_EASE_DFRN_DB,KMDIST,TRADE_HSCD_COUNTRYCD,KR_TRADE_HSCD_COUNTRYCD
0,2018,190590,12,Algeria,42196119729,22234640370.0,27.0,3735.047389,175405660377,170163165961,42228429.0,100.6914333,46.226859999999995,9954.009766,6788998.0,17312.021
1,2018,190590,36,Australia,240422685574,22234640370.0,1.2,11947.511359999999,1432881172002,1329188475752,24982688.0,1.035843097,80.76007,8329.652344,482560567.0,4245971.5
2,2018,190590,40,Austria,186965232670,22234640370.0,2.8,4005.020029,455094861902,417237869116,8840521.0,,78.70694,8289.029297,499925873.0,300034.4
3,2018,190590,56,Belgium,461444842911,22234640370.0,2.8,4501.782826,543734366831,502698069367,11427054.0,,72.18146,8722.114258,769101370.0,265858.1
4,2018,190590,76,Brazil,185290138433,22234640370.0,17.1,10015.76907,1885482534238,2062831045936,209469333.0,2.1560891509999998,55.80145,18364.50586,40817292.0,177103.89
5,2018,190590,104,Myanmar,21113013351,22234640370.0,13.4,5947.0652979999995,76168043982,68945867478,53708395.0,933.5704541000001,42.97482,3796.142578,15094426.0,506326.44
6,2018,190590,124,Canada,462631936513,22234640370.0,3.0,7924.808540000001,1716262621082,1649878054227,37057765.0,1.02979657,79.30059,10617.70313,1172532537.0,6346468.5
7,2018,190590,144,Sri Lanka,18419136335,22234640370.0,30.0,6910.058402,88425889592,87428125558,21670000.0,129.0690309,59.95121999999999,5840.512695,2471509.0,42781.543
8,2018,190590,152,Chile,75903274076,22234640370.0,3.3,9682.793339,298258019275,277044950259,18729160.0,495.2728776000001,71.95100000000001,18375.18164,54055252.0,86770.6
9,2018,190590,156,China,2162214649902,22234640370.0,14.4,7075.536496,13894817549374,12310409370893,1392730000.0,6.195758346,65.20485333,955.6510619999999,355831850.0,6950776.5
10,2018,190590,203,Czechia,186473607616,22234640370.0,2.8,3802.065907,248908731818,218628940952,10629928.0,19.57058333,76.42161999999999,8262.0625,278667446.0,137588.42
11,2018,190590,251,France,667420759741,22234640370.0,2.8,4663.8773869999995,2787863958885,2595151045198,66965912.0,,76.01011,8981.466797,1413226420.0,984384.0
12,2018,190590,276,Germany,1315409332891,22234640370.0,2.8,4565.290081,3963767526251,3682602479929,82905782.0,,79.34962,8543.78418,1595941452.0,2486183.2
13,2018,190590,320,Guatemala,13969525515,22234640370.0,14.4,8216.415820999999,73118147941,71612352645,16346950.0,7.85681375,61.52534,13029.69238,42987864.0,92450.54
14,2018,190590,344,"China, Hong Kong SAR",643394798125,22234640370.0,0.0,7253.4126209999995,361696880781,341244161577,7451000.0,7.756,85.04858,2095.842529,329852349.0,8400617.0
15,2018,190590,360,Indonesia,191443243509,22234640370.0,17.2,8520.272190000002,1042240309413,1015618742566,267663435.0,10461.24,66.70627333,5291.683594,48687209.0,1098662.0
16,2018,190590,364,Iran,49556486747,22234640370.0,30.0,4403.452636999999,453996479250,445345256459,81800269.0,18414.44801,55.696780000000004,6562.448242,6381495.0,14738.38
17,2018,190590,381,Italy,506856859377,22234640370.0,2.8,4219.362568,2091544955092,1961796197354,60421760.0,,73.19206,8982.65918,623316522.0,307881.53
18,2018,190590,392,Japan,759875312417,22234640370.0,12.4,7590.3538180000005,4954806619995,4866864409658,126529100.0,97.59565828,78.09557667,1156.669556,373043164.0,9694025.0
19,2018,190590,398,Kazakhstan,34721768925,22234640370.0,10.3,4139.984431,179339994859,166805800596,18276498.5,152.12916669999998,76.87746,4227.771973,69004202.0,62842.89
20,2018,190590,414,Kuwait,37380235154,22234640370.0,4.6,4558.4300140000005,140645364238,120707220574,4137312.0,0.283583333,61.78943,7181.024901999999,82786785.0,640076.1
21,2018,190590,458,Malaysia,221735105989,22234640370.0,0.9,7193.0033920000005,358715057124,319112136545,31528585.0,3.15090855,78.77204,4614.067383,45865102.0,2984610.0
22,2018,190590,484,Mexico,473441791355,22234640370.0,8.8,8862.629885,1222348807283,1158913035796,126190788.0,12.77199167,73.42948,12066.00781,161458357.0,145729.94
23,2018,190590,496,Mongolia,6125977140,22234640370.0,5.0,4891.110079,13108769496,11425755280,3170208.0,1523.9275,67.40642,2003.1032710000002,10032776.0,758343.94
24,2018,190590,528,Netherlands,548417493258,22234640370.0,2.8,4341.1346490000005,914043438180,833869641687,17231624.0,,76.08463,8573.182617,907728016.0,502268.53
25,2018,190590,554,New Zealand,45058310241,22234640370.0,2.3,13015.7744,207920613962,205415864858,4841000.0,1.219407142,87.02213,10293.83691,122987288.0,1742814.9
26,2018,190590,579,Norway,92821296616,22234640370.0,3.6,4294.317996,434166615432,398393955269,5311916.0,5.875,82.65956,7730.766602,285318154.0,36826.473
27,2018,190590,604,Peru,43743198163,22234640370.0,0.0,10270.12953,222044970486,211007207484,31989256.0,2.7018990260000004,67.76048,16329.76465,18849281.0,218575.9
28,2018,190590,608,Philippines,119619804041,22234640370.0,14.1,8153.880673000001,346841896890,328480738147,106651922.0,42.44618483,59.33172,2615.750732,39219908.0,3721660.0
29,2018,190590,616,Poland,271014771734,22234640370.0,2.8,3664.927434,587411745162,526508877305,37974750.0,3.1606166669999998,77.85723,7753.967285,250541000.0,93305.46
30,2018,190590,643,Russian Federation,246605953599,22234640370.0,10.3,3390.636954,1669583089323,1574199387071,144477860.0,31.83714364,76.49870667,6614.064453,241863937.0,5107209.0
31,2018,190590,682,Saudi Arabia,148653112350,22234640370.0,4.6,4895.714843,786521831572,688586244287,33699947.0,3.75,62.08336,7557.271973000001,259250136.0,6099803.5
32,2018,190590,699,India,517005871911,22234640370.0,24.0,5621.408075,2713165057513,2652754685835,1352617328.0,58.59784542,60.88745,4692.671875,14672570.0,115742.016
33,2018,190590,702,Singapore,385054245178,22234640370.0,0.0,8373.639065000001,373217081851,341863349989,5638676.0,1.2513,85.57215,4676.682617,190229135.0,2610121.8
